
"","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:00-1:35","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Monday","XII-A","-","S2","CHEMISTRY","BIOLOGY","PHYSICS","-","","XI-A","-","-","-","-","-","-","-","Monday","X-A","-","ENGLISH","BIOLOGY","MATH","PHYSICS","Monday"
"XII-G","ENGLISH","PHYSICS","MATH","CHEMISTRY","COMP SC","-","","XI-G","PHYSICS","MATH","ENGLISH","COMP SC","CHEMISTRY","-","-","X-G","MATH","2ND LANG","ECO","CIVIC","ENGLISH"
"XII-H","COMP SC","PHYSICS","ENGLISH","MATH","CHEMISTRY","-","","XI-H","PHYSICS","CHEMISTRY","COMP SC","ENGLISH","MATH","-","-","X-H","CIVIC","BIOLOGY","2ND LANG","PHYSICS","MATH"
"XII-I","PHYSICS","CHEMISTRY","MATH","COMP SC","ENGLISH","-","","XI-I","MATH","ENGLISH","CHEMISTRY","PHYSICS","COMP SC","-","-","X-I","CIVIC","HISTORY","BIO","MATH","2ND LANG"
"XII-J","CHEMISTRY","PHYSICS","MATH","ENGLISH","COMP SC","-","","XI-J","ENGLISH","MATH","CHEMISTRY","COMP SC","PHYSICS","-","-","X-J","GEO","2ND LANG","PHYSICS","ENGLISH","MATH"
"XII-K","ENGLISH","S2/APPLIED MATH","S5","S3","S4","PE","","XI-K","ENGLISH","CHEMISTRY/    ECO","PHYSICS","COMP SC","MATH","-","-","X-K","2ND LANG","MATH","GEO","HISTORY","ENGLISH"
"XII-L","PHYSICS","COMP SC","ENGLISH","MATH","CHEMISTRY","-","","XI-L","ECO/       BIO TECH","PHYSICS","MATH","CHEMISTRY","ENGLISH","-","-","X-L","PHYSICS","2ND LANG","CIVIC","BIO","ENGLISH"
"XII-M","PHYSICS","ENGLISH","CHEMISTRY","MATH","ECO","-","","XI-M","MATH","CHEMISTRY","PHYSICS","PE","ENGLISH","-","-","X-M","2ND LANG","ENGLISH","MATH","BIO","PHYSICS"
"XII-N","MATH","PHYSICS","CHEMISTRY","ENGLISH","ECO","-","","XI-N","ECO","ENGLISH","P2","ACC.","B.ST","PE","-","X-N","2ND LANG","ENGLISH","PHYSICS","MATH","CHEMISTRY"
"XII-O","ENGLISH","CHEMISTRY","MATH","PE","PHYSICS","-","","XI-O","ACCOUNTS","B.ST","MATH","ENGLISH","ECO","-","-","X-O","HISTORY","MATH","ENGLISH","2ND LANG","ECO"
"XII-P","B.ST","MATH","ENGLISH","ACCOUNTS","ECO","PE","","XI-P","ECO","ENGLISH","MATH","B.ST","ACCOUNTS","-","-","","","","","",""
"XII-Q","ECO","MATH","ACCOUNTS","ENGLISH","B.ST","PE","","XI-Q","ACCOUNTS","B.ST","ECO","MATH/              COMP SC","ENGLISH","-","-","","","","","",""
"XII-R","ENGLISH","MATH/APPLIED MATH","ACCOUNTS","ECO","B.ST","PE","","XI-R","B.ST","ACCOUNTS","MATH","ENGLISH","ECO","-","-","","","","","",""
"XII-S","ACCOUNTS","MATH/APPLIED MATH","ENGLISH","ECO","B.ST","PE","","XI-S","P3","P5","P2","P4","ENGLISH","-","-","","","","","",""
"XII-T","B.ST","MATH/APPLIED MATH","ECO","ACCOUNTS","ENGLISH","PE","","XI-T","P3","P5","P2","P4","ENGLISH","-","-","","","","","",""
"XII-U","ENGLISH","S2/APPLIED MATH","S5","S3","S4","PE","","XI-U","P3","P5","P2","P4","ENGLISH","-","-","","","","","",""
"XII-V","ENGLISH","S2/APPLIED MATH","S5","S3","S4","PE","","XI-V","P3","P5","P2","P4","ENGLISH","-","-","","","","","",""
"XII-W","ENGLISH","S2/APPLIED MATH","S5","S3","S4","-","","XI-W","P3","P5","P2","P4","ENGLISH","PE","-","","","","","",""
"XII-X","ENGLISH","S2/APPLIED MATH","S5","S3","S4","PE","","","","","","","","","","","","","","",""
"","ClSec","7:50-9:30","10:45-11:20","11:30-12:05","12:15-12:50","1:00-1:35","1:45-2:20","","ClSec","8:00-8:45","9:00-9:45","10:05-10:50","11:05-11:50","12:05-12:50","1-1:45","","","ClSec","7:50-9:30","10:45-11:20","11:30-12:05","12:15-12:50","1:00-1:35",""
"Thursday","XII-A","-","BIOLOGY","CHEMISTRY","PHYSICS","S2","-","","XI-A","-","-","-","-","-","-","-","Thursday","X-A","-","MATH","GEO","CIVIC","ENGLISH","Thursday"
"XII-B","-","BIOLOGY","ENGLISH","PHYSICS","S2","-","","XI-B","-","-","-","-","-","-","-","X-B","-","2ND LANG","MATH","ENGLISH","BIOLOGY"
